 SPHEROID: Oblate
 Refractive index:  1.3300  0.0000 i     Lambda=10.000 mkm     a/b = 20.000
 ================================================================================================
    c    x_V 2*pi*a/w alpha  Qext(TM)    Qsca(TM)    Qabs(TM)    Qext(TE)    Qsca(TE)    Qabs(TE)
 ================================================================================================
 Refractive index:  1.3300  0.0500 i     Lambda=10.000 mkm     a/b =  2.000
 ================================================================================================
    c    x_V 2*pi*a/w alpha  Qext(TM)    Qsca(TM)    Qabs(TM)    Qext(TE)    Qsca(TE)    Qabs(TE)
 ================================================================================================
   3.28  3.00  3.78     0  9.3080D-01  6.6417D-01  2.6663D-01
   3.28  3.00  3.78    10  9.4081D-01  6.7277D-01  2.6804D-01  9.3522D-01  6.6607D-01  2.6915D-01
   3.28  3.00  3.78    20  9.7617D-01  7.0203D-01  2.7414D-01  9.6370D-01  6.8617D-01  2.7753D-01
   3.28  3.00  3.78    30  1.0503D+00  7.6075D-01  2.8952D-01  1.0511D+00  7.5586D-01  2.9529D-01
   3.28  3.00  3.78    40  1.1787D+00  8.5928D-01  3.1939D-01  1.2299D+00  9.0040D-01  3.2955D-01
   3.28  3.00  3.78    50  1.3732D+00  1.0052D+00  3.6796D-01  1.5142D+00  1.1256D+00  3.8857D-01
   3.28  3.00  3.78    60  1.6360D+00  1.1992D+00  4.3681D-01  1.8953D+00  1.4188D+00  4.7649D-01
   3.28  3.00  3.78    70  1.9458D+00  1.4252D+00  5.2064D-01  2.3332D+00  1.7470D+00  5.8619D-01
   3.28  3.00  3.78    80  2.2289D+00  1.6302D+00  5.9865D-01  2.7239D+00  2.0350D+00  6.8890D-01
   3.28  3.00  3.78    90  2.3507D+00  1.7182D+00  6.3246D-01  2.8899D+00  2.1565D+00  7.3339D-01
 ================================================================================================
 SPHEROID: Prolate
 Refractive index:  1.3300  0.0500 i     Lambda=10.000 mkm     a/b =  2.000
 ================================================================================================
    c    x_V 2*pi*a/w alpha  Qext(TM)    Qsca(TM)    Qabs(TM)    Qext(TE)    Qsca(TE)    Qabs(TE)
 ================================================================================================
   4.13  3.00  4.77     0  3.8131D+00  2.8083D+00  1.0049D+00
   4.13  3.00  4.77    10  3.6036D+00  2.6594D+00  9.4422D-01  3.5839D+00  2.6437D+00  9.4029D-01
   4.13  3.00  4.77    20  3.1173D+00  2.3125D+00  8.0485D-01  3.0465D+00  2.2544D+00  7.9205D-01
   4.13  3.00  4.77    30  2.5887D+00  1.9313D+00  6.5732D-01  2.4535D+00  1.8171D+00  6.3634D-01
   4.13  3.00  4.77    40  2.1467D+00  1.6063D+00  5.4040D-01  1.9563D+00  1.4405D+00  5.1576D-01
   4.13  3.00  4.77    50  1.8243D+00  1.3623D+00  4.6207D-01  1.6067D+00  1.1688D+00  4.3789D-01
   4.13  3.00  4.77    60  1.6119D+00  1.1970D+00  4.1496D-01  1.3939D+00  1.0032D+00  3.9070D-01
   4.13  3.00  4.77    70  1.4877D+00  1.0999D+00  3.8777D-01  1.2734D+00  9.1500D-01  3.5838D-01
   4.13  3.00  4.77    80  1.4283D+00  1.0555D+00  3.7278D-01  1.2061D+00  8.7109D-01  3.3498D-01
   4.13  3.00  4.77    90  1.4119D+00  1.0441D+00  3.6776D-01  1.1826D+00  8.5691D-01  3.2572D-01
 ================================================================================================
 SPHEROID: Oblate
 Refractive index:  1.2000  0.0300 i     Lambda=10.000 mkm     a/b =  0.002
 ================================================================================================
    c    x_V 2*pi*a/w alpha  Qext(TM)    Qsca(TM)    Qabs(TM)    Qext(TE)    Qsca(TE)    Qabs(TE)
 ================================================================================================
 ++K=   1  RI,C1,C2=    1.2000    0.0300       NaN       NaN       NaN
 ================================================================================================
 SPHEROID: Oblate
 Refractive index:  1.2000  0.0300 i     Lambda=10.000 mkm     a/b =  0.002
 ================================================================================================
    c    x_V 2*pi*a/w alpha  Qext(TM)    Qsca(TM)    Qabs(TM)    Qext(TE)    Qsca(TE)    Qabs(TE)
 ================================================================================================
 ++K=   1  RI,C1,C2=    1.2000    0.0300       NaN       NaN       NaN
 ================================================================================================
 SPHEROID: Oblate
 Refractive index:  1.2000  0.0300 i     Lambda=10.000 mkm     a/b =  0.002
 ================================================================================================
    c    x_V 2*pi*a/w alpha  Qext(TM)    Qsca(TM)    Qabs(TM)    Qext(TE)    Qsca(TE)    Qabs(TE)
 ================================================================================================
